Datetime,OFFENSE INVOLVING CHILDREN,NARCOTICS,THEFT,BATTERY,CRIMINAL DAMAGE,SEX OFFENSE,CRIM SEXUAL ASSAULT,OTHER OFFENSE,ASSAULT,DECEPTIVE PRACTICE,BURGLARY,MOTOR VEHICLE THEFT,WEAPONS VIOLATION,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,PUBLIC PEACE VIOLATION,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,ARSON,CRIMINAL SEXUAL ASSAULT,GAMBLING,STALKING,HOMICIDE,KIDNAPPING,INTIMIDATION,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,NON-CRIMINAL,HUMAN TRAFFICKING
2010-04-20,4,161,214,171,102,3,5,78,69,45,66,49,19,45,41,5.0,7,11,1,2,0.0,4.0,0,2.0,3.0,1.0,0.0,0.0,0.0,,
2010-04-21,3,156,201,157,100,1,0,64,60,34,69,41,12,46,26,1.0,15,5,3,2,0.0,2.0,1,4.0,0.0,1.0,0.0,0.0,0.0,,
2010-04-22,5,136,224,165,118,4,2,63,65,44,72,67,20,31,21,2.0,3,7,2,1,0.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,,
2010-04-23,5,158,248,192,139,1,2,64,72,36,69,64,15,36,39,1.0,7,7,3,0,0.0,2.0,0,1.0,2.0,0.0,0.0,0.0,0.0,,
2010-04-24,9,102,200,181,147,0,0,63,53,28,61,55,9,55,25,3.0,12,6,1,1,0.0,4.0,0,1.0,1.0,1.0,1.0,0.0,0.0,,
2010-04-25,8,94,163,195,134,0,7,68,47,24,57,38,6,39,18,3.0,8,4,1,1,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-26,10,96,204,172,134,1,2,67,71,39,89,55,10,41,24,4.0,12,6,2,1,0.0,2.0,1,1.0,1.0,2.0,0.0,0.0,0.0,,
2010-04-27,4,150,175,181,128,2,4,61,67,31,72,44,15,34,36,0.0,9,7,1,0,0.0,2.0,0,0.0,2.0,1.0,0.0,0.0,0.0,,
2010-04-28,7,135,195,197,130,2,2,65,52,25,69,52,14,34,26,4.0,19,7,3,0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,,
2010-04-29,6,129,219,191,148,2,4,61,73,34,68,42,12,35,16,2.0,7,7,1,2,0.0,6.0,1,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-04-30,10,131,233,236,131,4,7,62,67,37,66,54,10,41,24,4.0,17,7,2,3,0.0,6.0,2,2.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-01,22,95,277,223,171,9,12,88,62,37,65,41,18,45,14,1.0,8,1,3,0,2.0,9.0,0,2.0,2.0,0.0,0.0,0.0,0.0,,
2010-05-02,8,68,169,240,144,3,3,64,55,19,56,44,14,40,23,1.0,13,1,1,1,0.0,2.0,1,3.0,0.0,0.0,0.0,0.0,0.0,,
2010-05-03,7,119,226,209,109,2,3,62,90,34,82,52,11,58,25,1.0,14,0,4,1,0.0,2.0,1,0.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-04,8,153,221,217,113,4,0,65,68,34,72,46,19,44,32,1.0,11,7,1,1,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2010-05-05,10,150,254,223,156,7,3,77,75,45,80,52,10,35,38,5.0,17,13,0,1,0.0,5.0,0,0.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-06,6,150,217,189,142,3,1,57,66,37,71,56,11,38,31,1.0,9,10,3,0,0.0,4.0,0,1.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-07,10,144,222,191,131,0,4,65,54,38,82,61,12,30,33,2.0,15,6,2,2,0.0,3.0,0,1.0,3.0,1.0,1.0,0.0,0.0,,
2010-05-08,5,123,209,186,117,3,2,49,40,43,53,29,12,39,24,4.0,4,6,0,2,0.0,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,,
2010-05-09,11,84,201,204,134,2,7,62,52,9,70,41,7,51,17,2.0,10,9,1,2,0.0,4.0,0,2.0,0.0,1.0,0.0,0.0,0.0,,
2010-05-10,9,129,213,183,117,3,3,77,58,41,92,70,13,37,28,2.0,9,3,4,3,0.0,4.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,
2010-05-11,4,150,171,145,108,3,4,67,75,29,84,45,10,45,29,1.0,9,11,5,1,0.0,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-12,8,157,221,168,124,7,0,60,67,42,85,70,16,34,26,1.0,5,10,1,1,0.0,3.0,0,1.0,1.0,1.0,0.0,0.0,0.0,,
2010-05-13,6,125,189,193,109,3,2,59,51,33,89,66,17,29,26,1.0,10,15,3,5,0.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-14,11,146,258,222,109,5,3,75,86,43,95,54,9,39,32,4.0,8,6,1,0,0.0,3.0,0,1.0,3.0,0.0,0.0,0.0,0.0,,
2010-05-15,5,88,262,226,130,2,8,64,58,28,67,57,9,38,36,2.0,10,11,1,3,0.0,5.0,1,2.0,0.0,0.0,1.0,0.0,0.0,,
2010-05-16,6,85,192,205,145,1,5,58,63,20,43,47,8,36,20,1.0,10,2,3,2,0.0,4.0,1,2.0,0.0,0.0,0.0,0.0,0.0,,
2010-05-17,5,91,212,160,111,3,8,75,74,43,86,67,8,37,24,1.0,10,2,3,1,1.0,4.0,2,2.0,1.0,1.0,0.0,0.0,0.0,,
2010-05-18,13,143,226,178,98,3,1,61,66,32,95,58,10,41,34,4.0,14,4,3,0,0.0,3.0,1,4.0,0.0,1.0,0.0,0.0,0.0,,
2010-05-19,2,137,185,194,114,2,4,79,80,32,71,58,19,36,32,1.0,8,14,0,2,0.0,7.0,2,2.0,1.0,2.0,0.0,0.0,0.0,,
2010-05-20,7,133,227,213,130,2,6,75,69,28,66,55,13,39,24,2.0,15,9,3,1,0.0,3.0,1,3.0,3.0,3.0,0.0,0.0,0.0,,
2010-05-21,5,154,237,172,114,3,3,49,66,31,85,64,12,41,26,1.0,17,3,1,1,0.0,4.0,0,0.0,1.0,0.0,0.0,0.0,0.0,,
2010-05-22,5,97,226,226,121,7,6,52,54,20,58,65,17,46,15,5.0,10,8,3,3,0.0,5.0,1,0.0,1.0,1.0,0.0,0.0,0.0,,
2010-05-23,12,93,200,262,142,4,5,59,82,23,52,40,7,31,20,2.0,12,1,3,1,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,0.0,,
2010-05-24,8,120,236,247,114,5,1,74,90,36,59,57,12,41,23,1.0,17,4,2,2,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,,
